Column1,host_record_id,study_id,host_species,host_genus,host_family,host_order,host_class,taxon_rank,gbif_id,country,iso3c,latitude,longitude,coord_status,dist_from_expected,coordinate_resolution_processed,gadm_country,gadm_adm1,gadm_adm2,gadm_adm3,start_date,end_date,temporal_resolution,number_of_hosts,trap_nights_clean,trap_nights_status,host_species_original,host_genus_original,country_raw,locality_raw,verbatim_locality_raw,event_date_raw,Column1_1,pathogen_record_id,study_id_1,pathogen_species_cleaned,pathogen_family,taxonomic_level,pathogen_species_ncbi,ncbi_id,assay,number_tested,number_positive,number_negative,number_inconclusive,pathogen_species_original,pathogen_family_original,assay_raw,note
51343,grant_1468,grant_192,Rattus rattus,Rattus,Muridae,Rodentia,Mammalia,species,2439270,India,IND,25.1799047538497,75.8627543930989,valid,NA,adm3,India,IND.29_1,IND.29.24_1,IND.29.24.2_1,1972-01-01,1972-12-31,year_only,41,NA,not_reported,Rattus rufescens,Rattus,India,Kota - Rajasthan,Districts,1972,64278,grant_1533,grant_192,Mammarenavirus lassaense,Arenaviridae,species,Mammarenavirus lassaense,3052310,Serology,41,0,41,NA,Lassa Virus,Arenaviridae,Complement Fixation Test,NA
51344,grant_1469,grant_192,Millardia meltada,Millardia,Muridae,Rodentia,Mammalia,species,5219777,India,IND,25.1799047538497,75.8627543930989,valid,NA,adm3,India,IND.29_1,IND.29.24_1,IND.29.24.2_1,1972-01-01,1972-12-31,year_only,5,NA,not_reported,Rattus meltada,Millardia,India,Kota - Rajasthan,Districts,1972,64279,grant_1534,grant_192,Mammarenavirus lassaense,Arenaviridae,species,Mammarenavirus lassaense,3052310,Serology,5,0,5,NA,Lassa Virus,Arenaviridae,Complement Fixation Test,NA
51345,grant_1470,grant_192,Suncus murinus,Suncus,Soricidae,Soricomorpha,Mammalia,species,2435520,India,IND,25.1799047538497,75.8627543930989,valid,NA,adm3,India,IND.29_1,IND.29.24_1,IND.29.24.2_1,1972-01-01,1972-12-31,year_only,6,NA,not_reported,Suncus murinus,Suncus,India,Kota - Rajasthan,Districts,1972,64280,grant_1535,grant_192,Mammarenavirus lassaense,Arenaviridae,species,Mammarenavirus lassaense,3052310,Serology,6,0,6,NA,Lassa Virus,Arenaviridae,Complement Fixation Test,NA
51346,grant_1471,grant_192,Tatera indica,Tatera,Muridae,Rodentia,Mammalia,species,2438134,India,IND,25.1799047538497,75.8627543930989,valid,NA,adm3,India,IND.29_1,IND.29.24_1,IND.29.24.2_1,1972-01-01,1972-12-31,year_only,3,NA,not_reported,Tatera indica,Tatera,India,Kota - Rajasthan,Districts,1972,64281,grant_1536,grant_192,Mammarenavirus lassaense,Arenaviridae,species,Mammarenavirus lassaense,3052310,Serology,3,0,3,NA,Lassa Virus,Arenaviridae,Complement Fixation Test,NA
51347,grant_1472,grant_192,Rattus rattus,Rattus,Muridae,Rodentia,Mammalia,species,2439270,India,IND,23.2335765063435,87.0685388494373,valid,NA,adm3,India,IND.36_1,IND.36.2_1,IND.36.2.1_1,1972-01-01,1972-12-31,year_only,27,NA,not_reported,Rattus arboreus,Rattus,India,Bankura - West Bengal,Districts,1972,64282,grant_1537,grant_192,Mammarenavirus lassaense,Arenaviridae,species,Mammarenavirus lassaense,3052310,Serology,27,0,27,NA,Lassa Virus,Arenaviridae,Complement Fixation Test,NA
51348,grant_1473,grant_192,Madromys blanfordi,Madromys,Muridae,Rodentia,Mammalia,species,4264958,India,IND,23.2335765063435,87.0685388494373,valid,NA,adm3,India,IND.36_1,IND.36.2_1,IND.36.2.1_1,1972-01-01,1972-12-31,year_only,1,NA,not_reported,Rattus blanford,Rattus,India,Bankura - West Bengal,Districts,1972,64283,grant_1538,grant_192,Mammarenavirus lassaense,Arenaviridae,species,Mammarenavirus lassaense,3052310,Serology,1,0,1,NA,Lassa Virus,Arenaviridae,Complement Fixation Test,NA
51349,grant_1474,grant_192,Suncus murinus,Suncus,Soricidae,Soricomorpha,Mammalia,species,2435520,India,IND,23.2335765063435,87.0685388494373,valid,NA,adm3,India,IND.36_1,IND.36.2_1,IND.36.2.1_1,1972-01-01,1972-12-31,year_only,2,NA,not_reported,Suncus murimus,Suncus,India,Bankura - West Bengal,Districts,1972,64284,grant_1539,grant_192,Mammarenavirus lassaense,Arenaviridae,species,Mammarenavirus lassaense,3052310,Serology,2,0,2,NA,Lassa Virus,Arenaviridae,Complement Fixation Test,NA
51350,grant_1475,grant_192,Rattus rattus,Rattus,Muridae,Rodentia,Mammalia,species,2439270,India,IND,18.8130420330541,82.710742852523,valid,NA,adm3,India,IND.26_1,IND.26.20_1,IND.26.20.2_1,1972-01-01,1972-12-31,year_only,22,NA,not_reported,Rattus rufescens,Rattus,India,Koraput - Orissa,Districts,1972,64285,grant_1540,grant_192,Mammarenavirus lassaense,Arenaviridae,species,Mammarenavirus lassaense,3052310,Serology,22,0,22,NA,Lassa Virus,Arenaviridae,Complement Fixation Test,NA
51351,grant_1476,grant_192,Rattus rattus,Rattus,Muridae,Rodentia,Mammalia,species,2439270,India,IND,18.8130420330541,82.710742852523,valid,NA,adm3,India,IND.26_1,IND.26.20_1,IND.26.20.2_1,1972-01-01,1972-12-31,year_only,36,NA,not_reported,Rattus arboreus,Rattus,India,Koraput - Orissa,Districts,1972,64286,grant_1541,grant_192,Mammarenavirus lassaense,Arenaviridae,species,Mammarenavirus lassaense,3052310,Serology,36,0,36,NA,Lassa Virus,Arenaviridae,Complement Fixation Test,NA
51352,grant_1477,grant_192,Madromys blanfordi,Madromys,Muridae,Rodentia,Mammalia,species,4264958,India,IND,18.8130420330541,82.710742852523,valid,NA,adm3,India,IND.26_1,IND.26.20_1,IND.26.20.2_1,1972-01-01,1972-12-31,year_only,3,NA,not_reported,Rattus blanfordi,Rattus,India,Koraput - Orissa,Districts,1972,64287,grant_1542,grant_192,Mammarenavirus lassaense,Arenaviridae,species,Mammarenavirus lassaense,3052310,Serology,3,0,3,NA,Lassa Virus,Arenaviridae,Complement Fixation Test,NA
51353,grant_1478,grant_192,Suncus murinus,Suncus,Soricidae,Soricomorpha,Mammalia,species,2435520,India,IND,18.8130420330541,82.710742852523,valid,NA,adm3,India,IND.26_1,IND.26.20_1,IND.26.20.2_1,1972-01-01,1972-12-31,year_only,2,NA,not_reported,Suncus murinus,Suncus,India,Koraput - Orissa,Districts,1972,64288,grant_1543,grant_192,Mammarenavirus lassaense,Arenaviridae,species,Mammarenavirus lassaense,3052310,Serology,2,0,2,NA,Lassa Virus,Arenaviridae,Complement Fixation Test,NA
51354,grant_1479,grant_192,Tatera indica,Tatera,Muridae,Rodentia,Mammalia,species,2438134,India,IND,18.8130420330541,82.710742852523,valid,NA,adm3,India,IND.26_1,IND.26.20_1,IND.26.20.2_1,1972-01-01,1972-12-31,year_only,1,NA,not_reported,Tatera indica,Tatera,India,Koraput - Orissa,Districts,1972,64289,grant_1544,grant_192,Mammarenavirus lassaense,Arenaviridae,species,Mammarenavirus lassaense,3052310,Serology,1,0,1,NA,Lassa Virus,Arenaviridae,Complement Fixation Test,NA
51355,grant_1480,grant_192,Rattus rattus,Rattus,Muridae,Rodentia,Mammalia,species,2439270,India,IND,13.9353710691343,75.570207265629,valid,NA,adm3,India,IND.16_1,IND.16.26_1,IND.16.26.4_1,1972-01-01,1972-12-31,year_only,58,NA,not_reported,Rattus wroughtoni,Rattus,India,Shimoga - Karnataka,Districts,1972,64290,grant_1545,grant_192,Mammarenavirus lassaense,Arenaviridae,species,Mammarenavirus lassaense,3052310,Serology,58,0,58,NA,Lassa Virus,Arenaviridae,Complement Fixation Test,NA
51356,grant_1481,grant_192,Rattus rattus,Rattus,Muridae,Rodentia,Mammalia,species,2439270,India,IND,13.9353710691343,75.570207265629,valid,NA,adm3,India,IND.16_1,IND.16.26_1,IND.16.26.4_1,1972-01-01,1972-12-31,year_only,6,NA,not_reported,Rattus rufescens,Rattus,India,Shimoga - Karnataka,Districts,1972,64291,grant_1546,grant_192,Mammarenavirus lassaense,Arenaviridae,species,Mammarenavirus lassaense,3052310,Serology,6,0,6,NA,Lassa Virus,Arenaviridae,Complement Fixation Test,NA
51357,grant_1482,grant_192,Madromys blanfordi,Madromys,Muridae,Rodentia,Mammalia,species,4264958,India,IND,13.9353710691343,75.570207265629,valid,NA,adm3,India,IND.16_1,IND.16.26_1,IND.16.26.4_1,1972-01-01,1972-12-31,year_only,53,NA,not_reported,Rattus blanfordi,Rattus,India,Shimoga - Karnataka,Districts,1972,64292,grant_1547,grant_192,Mammarenavirus lassaense,Arenaviridae,species,Mammarenavirus lassaense,3052310,Serology,53,0,53,NA,Lassa Virus,Arenaviridae,Complement Fixation Test,NA
51358,grant_1483,grant_192,Funambulus tristriatus,Funambulus,Sciuridae,Rodentia,Mammalia,species,2437245,India,IND,13.9353710691343,75.570207265629,valid,NA,adm3,India,IND.16_1,IND.16.26_1,IND.16.26.4_1,1972-01-01,1972-12-31,year_only,22,NA,not_reported,Tristriatus trisrtriatus,Funambulus,India,Shimoga - Karnataka,Districts,1972,64293,grant_1548,grant_192,Mammarenavirus lassaense,Arenaviridae,species,Mammarenavirus lassaense,3052310,Serology,22,0,22,NA,Lassa Virus,Arenaviridae,Complement Fixation Test,NA
51359,grant_1484,grant_192,Hystrix indica,Hystrix,Hystricidae,Rodentia,Mammalia,species,5219884,India,IND,13.9353710691343,75.570207265629,valid,NA,adm3,India,IND.16_1,IND.16.26_1,IND.16.26.4_1,1972-01-01,1972-12-31,year_only,4,NA,not_reported,Hystrix indica,Hystrix,India,Shimoga - Karnataka,Districts,1972,64294,grant_1549,grant_192,Mammarenavirus lassaense,Arenaviridae,species,Mammarenavirus lassaense,3052310,Serology,4,0,4,NA,Lassa Virus,Arenaviridae,Complement Fixation Test,NA
51360,grant_1485,grant_192,Suncus murinus,Suncus,Soricidae,Soricomorpha,Mammalia,species,2435520,India,IND,13.9353710691343,75.570207265629,valid,NA,adm3,India,IND.16_1,IND.16.26_1,IND.16.26.4_1,1972-01-01,1972-12-31,year_only,12,NA,not_reported,Suncus murimus,Suncus,India,Shimoga - Karnataka,Districts,1972,64295,grant_1550,grant_192,Mammarenavirus lassaense,Arenaviridae,species,Mammarenavirus lassaense,3052310,Serology,12,0,12,NA,Lassa Virus,Arenaviridae,Complement Fixation Test,NA
