host,virus,longitude,latitude,prevalence
Apodemus agrarius,Orthohantavirus hantanense,126.9306,37.9147,0.20689656
Apodemus agrarius,Orthohantavirus hantanense,126.9273,37.8692,0.083333336
Apodemus agrarius,Orthohantavirus hantanense,127.1056,38.1668,0.23529412
Apodemus agrarius,Orthohantavirus hantanense,126.9306,37.9147,0.10344828
Apodemus agrarius,Orthohantavirus hantanense,126.9273,37.8692,0.0
Apodemus agrarius,Orthohantavirus hantanense,127.1056,38.1668,0.23529412
Apodemus agrarius,Orthohantavirus hantanense,126.8486,35.1653,0.068359375
Apodemus agrarius,Orthohantavirus hantanense,126.8486,35.1653,0.01171875
Apodemus agrarius,Orthohantavirus hantanense,127.11,36.99,0.02152318
Apodemus agrarius,Orthohantavirus hantanense,126.8358,37.0692,0.18421052
Apodemus agrarius,Orthohantavirus hantanense,126.7025,37.2192,0.35849056
Apodemus agrarius,Orthohantavirus hantanense,126.845,36.679,0.23364486
Apodemus agrarius,Orthohantavirus hantanense,128.166,35.57,0.12048193
Apodemus agrarius,Orthohantavirus hantanense,127.464,35.209,0.114035085
Apodemus agrarius,Orthohantavirus hantanense,127.15,35.817,0.035714287
Apodemus agrarius,Orthohantavirus hantanense,127.25,37.25,0.14038461
Apodemus agrarius,Orthohantavirus hantanense,126.98378,37.922855,0.34857142
Apodemus agrarius,Orthohantavirus hantanense,127.32126,38.087784,0.08214748
Apodemus agrarius,Orthohantavirus hantanense,127.07218,38.023083,0.41666666
Apodemus agrarius,Orthohantavirus hantanense,126.776695,37.759018,0.27272728
Apodemus agrarius,Orthohantavirus hantanense,126.776695,37.759018,0.19298245
Apodemus agrarius,Orthohantavirus hantanense,126.776695,37.759018,0.4090909
Apodemus agrarius,Orthohantavirus hantanense,127.07218,38.023083,0.2
Apodemus agrarius,Orthohantavirus hantanense,127.20426,37.897614,0.16666667
Apodemus agrarius,Orthohantavirus hantanense,128.61604,38.077854,0.125
Apodemus agrarius,Orthohantavirus hantanense,128.61604,38.077854,0.0
Apodemus agrarius,Orthohantavirus hantanense,128.1662,38.06734,0.125
Apodemus agrarius,Orthohantavirus hantanense,128.1662,38.06734,0.0
Apodemus agrarius,Orthohantavirus hantanense,127.98523,38.101845,0.2
Apodemus agrarius,Orthohantavirus hantanense,127.98523,38.101845,0.2
Crocidura lasiura,Thottimvirus imjinense,126.8,37.87,0.25
Crocidura lasiura,Thottimvirus imjinense,126.8,37.87,0.33333334
Crocidura lasiura,Thottimvirus imjinense,126.8,37.87,0.0
Crocidura lasiura,Thottimvirus imjinense,126.8,37.87,0.0
Crocidura lasiura,Thottimvirus imjinense,126.8,37.87,0.0
Crocidura lasiura,Thottimvirus imjinense,126.8,37.87,0.0
Crocidura lasiura,Thottimvirus imjinense,127.0833,38.1,0.125
Crocidura lasiura,Thottimvirus imjinense,127.0833,38.1,1.0
Crocidura lasiura,Thottimvirus imjinense,127.0833,38.1,0.33333334
Crocidura lasiura,Thottimvirus imjinense,127.0833,38.1,0.6666667
Crocidura lasiura,Thottimvirus imjinense,127.0833,38.1,0.16666667
Crocidura lasiura,Thottimvirus imjinense,127.0833,38.1,0.093023255
Crocidura lasiura,Thottimvirus imjinense,127.2,37.89,0.10714286
Crocidura lasiura,Thottimvirus imjinense,126.8,37.87,0.16666667
Crocidura lasiura,Thottimvirus imjinense,126.8,37.87,0.33333334
Crocidura lasiura,Thottimvirus imjinense,126.8,37.87,0.0
Crocidura lasiura,Thottimvirus imjinense,126.8,37.87,0.0
Crocidura lasiura,Thottimvirus imjinense,126.8,37.87,0.0
Crocidura lasiura,Thottimvirus imjinense,126.8,37.87,0.0
Crocidura lasiura,Thottimvirus imjinense,127.0833,38.1,0.0
Crocidura lasiura,Thottimvirus imjinense,127.0833,38.1,0.5
Crocidura lasiura,Thottimvirus imjinense,127.0833,38.1,0.0
